any districte codi_nivell_estudis nivell_estudis data_naixement codi_nacionalitat nacionalitat
2022 6 40 BATXILLER_FPII_O_SUPERIOR 1941 108 ESPAÑA
2022 6 40 BATXILLER_FPII_O_SUPERIOR 1944 108 ESPAÑA
2022 6 40 BATXILLER_FPII_O_SUPERIOR 1964 108 ESPAÑA
2022 6 44 DIPLOMAT_ESCOLA_UNIVERS. 1969 108 ESPAÑA
2022 6 42 BATXILLER_SUPERIOR_BUP 1962 108 ESPAÑA
2022 6 21 SENSE_ESTUDIS 1973 228 MARRUECOS
2022 6 21 SENSE_ESTUDIS 1984 228 MARRUECOS
2022 6 11 NI_LLEGIR_NI_ESCRIURE 2011 228 MARRUECOS
2022 6 22 PRIMÀRIA_INCOMPLETA 1977 228 MARRUECOS
2022 6 31 BATX._ELEM._GRADUAT_ESO 1984 108 ESPAÑA
2022 6 42 BATXILLER_SUPERIOR_BUP 1986 112 HUNGRIA
2022 6 11 NI_LLEGIR_NI_ESCRIURE 1949 228 MARRUECOS
2022 6 11 NI_LLEGIR_NI_ESCRIURE 1947 228 MARRUECOS
2022 6 31 BATX._ELEM._GRADUAT_ESO 1981 228 MARRUECOS
2022 6 22 PRIMÀRIA_INCOMPLETA 1968 108 ESPAÑA
2022 6 22 PRIMÀRIA_INCOMPLETA 1971 108 ESPAÑA
2022 6 31 BATX._ELEM._GRADUAT_ESO 1963 108 ESPAÑA
2022 6 22 PRIMÀRIA_INCOMPLETA 1957 108 ESPAÑA
2022 6 22 PRIMÀRIA_INCOMPLETA 1973 108 ESPAÑA
2022 6 31 BATX._ELEM._GRADUAT_ESO 1924 108 ESPAÑA
2022 6 31 BATX._ELEM._GRADUAT_ESO 1957 108 ESPAÑA
2022 6 32 FORMACIÓ_PROFESS_1ER_GRAU 1957 108 ESPAÑA
2022 6 42 BATXILLER_SUPERIOR_BUP 1971 108 ESPAÑA
2022 6 42 BATXILLER_SUPERIOR_BUP 1964 108 ESPAÑA
2022 6 41 FORMACIÓ_PROFESS_2ON_GRAU 1954 108 ESPAÑA
2022 6 42 BATXILLER_SUPERIOR_BUP 1960 108 ESPAÑA
2022 6 32 FORMACIÓ_PROFESS_1ER_GRAU 1960 108 ESPAÑA
2022 6 42 BATXILLER_SUPERIOR_BUP 1963 108 ESPAÑA
2022 6 46 LLICENCIAT_O_GRAU_UNIVER. 1965 108 ESPAÑA
2022 6 11 NI_LLEGIR_NI_ESCRIURE 1933 108 ESPAÑA
2022 6 42 BATXILLER_SUPERIOR_BUP 1967 203 ARGELIA
2022 6 42 BATXILLER_SUPERIOR_BUP 1970 108 ESPAÑA
2022 6 31 BATX._ELEM._GRADUAT_ESO 1996 108 ESPAÑA
2022 6 42 BATXILLER_SUPERIOR_BUP 1952 108 ESPAÑA
2022 6 31 BATX._ELEM._GRADUAT_ESO 1988 108 ESPAÑA
2022 6 11 NI_LLEGIR_NI_ESCRIURE 2012 108 ESPAÑA
2022 6 46 LLICENCIAT_O_GRAU_UNIVER. 1977 108 ESPAÑA
2022 6 46 LLICENCIAT_O_GRAU_UNIVER. 1974 108 ESPAÑA
2022 6 11 NI_LLEGIR_NI_ESCRIURE 2008 108 ESPAÑA
2022 6 45 ARQUITECTE_ENGINYER_TÈCNI 1976 108 ESPAÑA
2022 6 11 NI_LLEGIR_NI_ESCRIURE 2012 108 ESPAÑA
2022 6 46 LLICENCIAT_O_GRAU_UNIVER. 1980 108 ESPAÑA
2022 6 11 NI_LLEGIR_NI_ESCRIURE 2009 108 ESPAÑA
2022 6 42 BATXILLER_SUPERIOR_BUP 1988 108 ESPAÑA
